Site,PPQ,Year,heat_stress,Month,hum_dist,2D_Area,3D_Area,rugosity,terrain_rug,curvature,abs_curv,nbranching,nplating,nmassive,dbranching,dplating,dmassive
VL3,1,2015,Before,April,Very Low,17.93151,42.11752,2.46503,0.089216689,6.857635688,6.857635688,39,44,160,2.174942322,2.453781081,8.922840296
VL3,2,2015,Before,April,Very Low,21.48182,46.95512,2.480632,0.086517695,-8.512719033,8.512719033,17,42,173,0.791366839,1.955141603,8.053321367
VL3,3,2015,Before,April,Very Low,17.90966,40.33815,2.378601,0.091666618,-26.53134541,26.53134541,25,39,240,1.395894729,2.177595778,13.4005894
M1,1,2015,Before,April,Medium,16.947042,30.25881,1.834329,0.072484594,14.9987804,14.9987804,53,57,301,3.127389429,3.36341882,17.76121166
M1,2,2015,Before,April,Medium,18.929143,42.59832,2.410756,0.097475179,-29.1712387,29.1712387,44,94,404,2.324458112,4.965887785,21.34275176
M1,3,2015,Before,April,Medium,19.810733,35.105,1.970657,0.060079719,17.83071731,17.83071731,27,27,241,1.362897577,1.362897577,12.16512281
VL1,1,2015,Before,January,Very Low,14.36929,29.550687,2.056516849,0.084957541,-13.00866267,13.00866267,49,175,48,3.410050183,12.17875066,3.340457323
VL1,2,2015,Before,January,Very Low,16.981916,48.592767,2.86144196,0.108214484,16.03583363,16.03583363,40,152,37,2.355446818,8.950697907,2.178788306
VL1,3,2015,Before,January,Very Low,16.287103,44.943837,2.759473984,0.11102647,-22.94576482,22.94576482,71,223,60,4.359277399,13.69181493,3.683896393
VL2,2,2015,Before,April,Very Low,16.63339,45.26411,2.7615,0.120477588,-20.383525,20.383525,156,25,57,9.378725563,1.503000892,3.426842033
VL2,3,2015,Before,April,Very Low,20.491448,51.91675,2.846539,0.115660298,-4.007588526,4.007588526,94,214,54,4.587279532,10.44338106,2.635245689
VH2,1,2015,Before,April,Very High,15.89399,25.11568,1.548513,0.04878866,14.76181026,14.76181026,5,5,21,0.314584318,0.314584318,1.321254134
VH2,2,2015,Before,April,Very High,18.561448,29.23539,1.690237,0.047493535,4.447495424,4.447495424,3,1,12,0.161625321,0.053875107,0.646501286
VH2,3,2015,Before,April,Very High,19.959334,30.40095,1.692138,0.052233771,-4.831450826,4.831450826,0,0,8,0,0,0.400814977
VH1,1,2015,Before,April,Very High,15.29851,52.25535,3.23921,0.111135875,10.77765757,10.77765757,27,7,172,1.764877756,0.4575609,11.24292496
VH1,2,2015,Before,April,Very High,16.445314,32.14474,1.978979,0.062552192,-26.89071455,26.89071455,21,2,75,1.276959503,0.121615191,4.560569655
VH1,3,2015,Before,April,Very High,27.019004,50.07066,2.306549,0.063073109,-4.859509288,4.859509288,40,7,160,1.480439471,0.259076907,5.921757886
VH3,1,2015,Before,April,Very High,18.511713,35.4755,2.046873,0.074219952,21.80159882,21.80159882,12,15,47,0.648238226,0.810297783,2.538933053
VH3,2,2015,Before,April,Very High,19.367334,32.59814,1.839505,0.070156041,-2.48946019,2.48946019,15,11,36,0.774499991,0.56796666,1.858799977
VH3,3,2015,Before,April,Very High,13.969248,22.26129,1.480541,0.06100821,-1.883414292,1.883414292,5,4,7,0.357929074,0.286343259,0.501100703
M3,1,2015,Before,April,Medium,16.472198,32.85623,2.017837,0.078945541,-13.3018126,13.3018126,28,5,253,1.699833866,0.303541762,15.35921314
M3,2,2015,Before,April,Medium,15.901259,30.51498,1.910728,0.080341441,21.3281337,21.3281337,24,33,225,1.509314451,2.07530737,14.14982298
M3,3,2015,Before,April,Medium,17.867694,34.80233,2.054755,0.079864707,24.08350381,24.08350381,41,17,193,2.294644177,0.95143783,10.80161771
M2,1,2015,Before,April,Medium,15.435138,26.38555,1.673823,0.059287536,23.49199252,23.49199252,29,11,173,1.878829979,0.712659647,11.20819263
M2,2,2015,Before,April,Medium,19.898775,39.99768,2.23063,0.072920208,16.51513934,16.51513934,46,12,228,2.311700092,0.603052198,11.45799176
M2,3,2015,Before,April,Medium,15.88576,38.3616,2.384333,0.097652651,20.03387626,20.03387626,34,24,288,2.140281611,1.510787019,18.12944423
VL3,1,2017,After,July,Very Low,16.205097,34.334552,2.118750169,0.06992015,-5.036726354,5.036726354,0,1,80,0,0.06170898,4.936718367
VL3,2,2017,After,July,Very Low,17.463297,30.572976,1.750698966,0.050039602,-2.788642846,2.788642846,2,0,58,0.114525911,0,3.321251422
VL3,3,2017,After,July,Very Low,16.475588,28.271695,1.715974871,0.056181426,27.7427062,27.7427062,2,1,105,0.121391722,0.060695861,6.37306541
M1,1,2017,After,July,Medium,14.017841,23.55985,1.680704611,0.048196619,14.41022046,14.41022046,4,1,139,0.285350647,0.071337662,9.915934986
M1,2,2017,After,July,Medium,18.568978,32.965682,1.775309444,0.065872665,56.8977927,56.8977927,1,1,150,0.05385326,0.05385326,8.077988999
M1,3,2017,After,July,Medium,17.693563,29.342244,1.658356997,0.055678917,0.372693853,0.372693853,0,0,65,0,0,3.67365239
VL1,1,2017,After,July,Very Low,12.607123,25.007252,1.983581187,0.061910846,-54.71453748,54.71453748,0,0,25,0,0,1.983005956
VL1,2,2017,After,July,Very Low,14.885542,31.443186,2.112330609,0.062704763,3.642298258,3.642298258,0,0,10,0,0,0.671792804
VL1,3,2017,After,July,Very Low,15.244215,37.6253,2.468169073,0.079961289,11.55955426,11.55955426,1,0,30,0.065598655,0,1.967959649
VL2,2,2017,After,July,Very Low,13.366131,24.312578,1.818969005,0.05485738,-10.88206597,10.88206597,0,0,7,0,0,0.523711761
VL2,3,2017,After,July,Very Low,16.860536,34.504201,2.046447456,0.083348923,-9.341863557,9.341863557,1,1,16,0.059310095,0.059310095,0.948961528
VH2,1,2017,After,July,Very High,15.350649,21.461544,1.398087078,0.033168199,-2.366905494,2.366905494,0,0,10,0,0,0.651438255
VH2,2,2017,After,July,Very High,16.718358,22.502524,1.34597692,0.029098129,-7.490581706,7.490581706,0,0,0,0,0,0
VH2,3,2017,After,July,Very High,21.054375,25.563193,1.214151121,0.026066278,-0.933603758,0.933603758,0,0,4,0,0,0.189984267
VH1,1,2017,After,July,Very High,13.517876,25.49053,1.885690474,0.041798821,26.92667965,26.92667965,1,0,55,0.073976119,0,4.06868653
VH1,2,2017,After,July,Very High,15.625663,26.928309,1.723338651,0.053177488,-4.273035915,4.273035915,1,0,11,0.063997284,0,0.703970129
VH1,3,2017,After,July,Very High,20.309124,33.961497,1.672228551,0.045679706,-3.2657188,3.2657188,1,0,37,0.049238953,0,1.821841257
VH3,1,2017,After,July,Very High,16.131235,26.983227,1.672731629,0.053344846,3.159170619,3.159170619,2,0,9,0.123983068,0,0.557923804
VH3,2,2017,After,July,Very High,14.807412,22.312378,1.506838467,0.054222578,-9.625860979,9.625860979,1,0,12,0.067533746,0,0.810404951
VH3,3,2017,After,July,Very High,11.942366,17.444168,1.460696147,0.054083566,-3.277477337,3.277477337,2,0,3,0.167471002,0,0.251206503
M3,1,2017,After,July,Medium,13.984153,23.309892,1.666879074,0.058794877,-5.566170968,5.566170968,0,0,94,0,0,6.721894419
M3,2,2017,After,July,Medium,14.960831,23.93151,1.599611011,0.049882408,27.21473075,27.21473075,4,0,81,0.267364828,0,5.414137757
M3,3,2017,After,July,Medium,14.58639,22.986261,1.575870452,0.050244387,7.64699148,7.64699148,2,0,49,0.137114118,0,3.359295892
M2,1,2017,After,July,Medium,14.957866,23.436795,1.566854189,0.040795951,13.32568663,13.32568663,3,0,95,0.200563369,0,6.351173356
M2,2,2017,After,July,Medium,14.841241,25.147827,1.694455807,0.051567695,15.18172922,15.18172922,3,0,144,0.20213943,0,9.702692652
M2,3,2017,After,July,Medium,14.482739,27.004393,1.864591567,0.058875426,18.68642348,18.68642348,5,1,132,0.345238563,0.069047713,9.114298062
